epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.04896904052235186,100,0,21,0.21,4,96,-983.7499999999999,0.001,4.406630992889404
1,0.0557879685331136,100,0,20,0.2,9,91,-997.6199999999997,0.001,7.640857219696045
2,0.06235553976148367,100,0,18,0.18,6,94,-1024.1199999999997,0.001,11.631232023239136
3,0.055501861330121756,100,0,18,0.18,6,94,-1025.65,0.001,14.916485071182251
4,0.06503609915263951,100,0,25,0.25,7,93,-930.5400000000001,0.001,17.376780033111572
5,0.0508900435641408,100,0,12,0.12,5,95,-1105.7299999999996,0.001,20.88969087600708
6,0.05414817404001951,100,0,0,0.0,5,95,-1266.8799999999992,0.001,25.775134086608887
7,0.05414449036121369,100,0,0,0.0,3,97,-1266.4399999999991,0.001,30.970386028289795
8,0.054179385490715506,100,0,0,0.0,3,97,-1263.1799999999994,0.001,34.88627314567566
9,0.054148894771933555,100,0,0,0.0,4,96,-1264.6899999999994,0.001,38.558539152145386
10,0.054175781942904,100,0,0,0.0,5,95,-1266.3199999999993,0.001,42.880412101745605
11,0.054135826118290424,100,0,0,0.0,5,95,-1264.7899999999993,0.001,46.685368061065674
12,0.05411193739622831,100,0,0,0.0,2,98,-1264.6199999999997,0.001,51.272392988204956
13,0.05421582270413637,100,0,0,0.0,5,95,-1265.6299999999992,0.001,57.16575813293457
14,0.05417092025279999,100,0,0,0.0,5,95,-1264.9399999999996,0.001,60.952691078186035
15,0.05415697228163481,100,0,0,0.0,3,97,-1266.2999999999993,0.001,64.42155504226685
16,0.054134959653019905,100,0,0,0.0,7,93,-1264.529999999999,0.001,67.86939024925232
17,0.054152006097137925,100,0,0,0.0,8,92,-1263.2199999999991,0.001,71.6924831867218
18,0.05418651308864355,100,0,0,0.0,4,96,-1264.8199999999993,0.001,75.46807813644409
19,0.054141407124698164,100,0,0,0.0,9,91,-1265.4799999999993,0.001,78.7145402431488
20,0.05417618095874786,100,0,0,0.0,3,97,-1266.8899999999992,0.001,82.19222092628479
21,0.05415224336087704,100,0,0,0.0,4,96,-1265.9199999999996,0.001,85.41787123680115
22,0.05416411727666855,100,0,0,0.0,5,95,-1266.3099999999995,0.001,88.45122909545898
23,0.05415638569742441,100,0,0,0.0,6,94,-1263.5899999999995,0.001,91.3554539680481
24,0.05416657447814941,100,0,0,0.0,5,95,-1265.4999999999995,0.001,94.73698806762695
25,0.05416245490312576,100,0,0,0.0,4,96,-1265.1099999999992,0.001,97.57576417922974
