epoch,loss,steps,win,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.009538299404084682,36,0,0.0,7,29,-8.16,0.001,48.335111
1,0.014223534613847733,34,0,0.0,3,31,-8.08,0.001,97.125954
2,0.05626509338617325,35,0,0.0,5,30,-8.120000000000001,0.001,146.289001
3,0.2572469413280487,2,1,0.0,3,0,0.96,0.001,149.080134
4,0.19460195302963257,26,1,0.0,5,21,-4.62,0.001,188.450494
5,0.21537943184375763,24,1,0.0,3,21,-4.54,0.001,234.237559
6,0.4046790599822998,3,1,0.0,4,0,0.92,0.001,239.599323
7,0.5389496088027954,3,1,0.0,4,0,0.92,0.001,244.496023
8,0.03148285299539566,33,0,0.625,5,28,-8.04,0.001,299.679602
9,0.16805267333984375,13,1,0.75,4,9,-1.37,0.001,328.667011
10,0.05844073370099068,34,0,0.75,5,29,-8.08,0.001,390.269442
11,0.2804732620716095,3,1,0.75,2,1,0.5,0.001,397.538013
12,0.07484567165374756,35,0,0.625,2,33,-8.120000000000001,0.001,473.708553
13,0.11711108684539795,34,0,0.5,4,30,-8.08,0.001,542.227715
14,0.15884137153625488,36,0,0.375,7,29,-8.16,0.001,614.887686
15,0.511613130569458,3,1,0.375,4,0,0.92,0.001,620.70113
16,0.06908902525901794,35,0,0.375,7,28,-8.120000000000001,0.001,679.888627
17,0.15571314096450806,35,0,0.25,7,28,-8.120000000000001,0.001,738.218025
18,0.1548258662223816,35,0,0.25,7,28,-8.120000000000001,0.001,793.035182
19,0.48414748907089233,4,1,0.25,5,0,0.88,0.001,799.544453
20,0.07405636459589005,33,0,0.25,4,29,-8.25,0.001,856.364356
21,0.32977646589279175,3,1,0.375,4,0,0.92,0.001,862.16377
22,0.2879534959793091,33,1,0.5,3,30,-6.79,0.001,936.646414
23,0.4924124479293823,4,1,0.5,5,0,0.88,0.001,944.343492
24,0.683050274848938,1,1,0.625,2,0,1.0,0.001,946.209561
25,0.7491351962089539,2,1,0.75,3,0,0.96,0.001,950.359509
26,0.7409473657608032,2,1,0.875,2,0,0.75,0.001,954.296464
27,0.7382731437683105,2,1,0.875,3,0,0.96,0.001,958.214038
28,0.01018129475414753,33,0,0.875,7,26,-8.25,0.001,1023.330229
29,0.06869960576295853,3,1,0.875,4,0,0.92,0.001,1031.406339
30,0.13262031972408295,2,1,0.875,3,0,0.96,0.001,1036.186199
31,0.03327903151512146,34,0,0.75,5,29,-8.08,0.001,1108.239904
32,0.14487497508525848,3,1,0.75,4,0,0.92,0.001,1112.967835
33,0.10820365697145462,20,1,0.75,6,14,-2.91,0.001,1141.174793
34,0.10479722172021866,10,1,0.75,5,5,-0.6200000000000001,0.001,1154.005772
35,0.13788850605487823,33,1,0.75,3,30,-6.79,0.001,1211.615526
36,0.268485426902771,1,1,0.875,2,0,1.0,0.001,1213.778451
37,0.027350449934601784,35,0,0.75,7,28,-8.120000000000001,0.001,1277.614969
38,0.1880343109369278,30,1,0.75,5,25,-5.62,0.001,1316.496981
39,0.07520978897809982,34,0,0.75,7,27,-8.08,0.001,1359.075152
40,0.11795175820589066,35,0,0.625,7,28,-8.120000000000001,0.001,1402.792157
41,0.16803306341171265,34,0,0.5,3,31,-8.08,0.001,1446.283579
42,0.3768259882926941,30,1,0.5,4,26,-5.62,0.001,1484.638964
43,0.1432916224002838,33,0,0.375,5,28,-8.04,0.001,1530.357081
44,0.4092777967453003,29,1,0.375,2,27,-5.79,0.001,1612.029821
45,0.779344916343689,2,1,0.5,3,0,0.96,0.001,1616.087511
46,0.9903754591941833,3,1,0.5,4,0,0.92,0.001,1621.951184
47,0.04365753382444382,35,0,0.5,7,28,-8.120000000000001,0.001,1696.331173
48,0.22826498746871948,3,1,0.625,4,0,0.92,0.001,1702.556327
49,0.19790047407150269,24,1,0.75,5,19,-4.12,0.001,1748.833054
50,0.06745456159114838,34,0,0.625,5,29,-8.08,0.001,1830.171236
51,0.13236789405345917,33,0,0.625,5,28,-8.04,0.001,1905.092264
52,0.43299025297164917,2,1,0.625,3,0,0.96,0.001,1909.074772
53,0.10538405925035477,33,0,0.5,4,29,-8.04,0.001,1977.22301
54,0.3606775999069214,2,1,0.5,3,0,0.96,0.001,1981.134745
55,0.085800401866436,34,0,0.5,4,30,-8.08,0.001,2052.727672
56,0.2725987136363983,26,1,0.5,3,23,-5.04,0.001,2089.090884
57,0.11474035680294037,33,0,0.375,4,29,-8.04,0.001,2131.302415
58,0.40552717447280884,1,1,0.5,2,0,1.0,0.001,2132.506234
59,0.6875149011611938,1,1,0.625,2,0,1.0,0.001,2133.709965
60,0.13091357052326202,33,0,0.5,7,26,-8.04,0.001,2175.391942
61,0.24233940243721008,8,1,0.625,2,6,-0.75,0.001,2185.839006
62,0.44809162616729736,2,1,0.625,3,0,0.96,0.001,2188.480844
63,0.6573278903961182,1,1,0.75,2,0,1.0,0.001,2189.811257
64,0.31173890829086304,7,1,0.75,5,2,0.1299999999999999,0.001,2198.986146
65,0.2635791599750519,3,1,0.875,2,1,0.5,0.001,2202.990326
66,0.36408406496047974,1,1,0.875,2,0,1.0,0.001,2204.305682
67,0.06291518360376358,16,1,0.875,7,9,-1.7000000000000002,0.001,2224.844124
68,0.12986212968826294,1,1,1.0,2,0,1.0,0.001,2226.190194
