epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.04724907709285617,100,4726,12,0.12,9,91,-1145.51,0.001,2.655226945877075
1,0.05436604797840119,100,4547,19,0.19,6,94,-1086.5500000000002,0.001,4.983538866043091
2,0.05456994626671076,100,4682,16,0.16,10,90,-1118.59,0.001,7.12892484664917
3,0.053287805784493686,100,4577,17,0.17,8,92,-1095.92,0.001,9.1610689163208
4,0.05026850486174226,100,4268,23,0.23,8,92,-1012.0100000000002,0.001,11.336141109466553
5,0.04924888108856976,100,4453,19,0.19,7,93,-1068.7200000000005,0.001,15.59114694595337
6,0.05422678460367024,100,4536,15,0.15,2,98,-1092.37,0.001,17.97219204902649
7,0.04941950690932572,100,4283,28,0.28,9,91,-1001.9500000000003,0.001,19.831592798233032
8,0.047493020482361314,100,4957,4,0.04,10,90,-1206.3299999999995,0.001,21.843100786209106
9,0.049583996497094635,100,4474,19,0.19,7,93,-1070.4,0.001,23.74075698852539
10,0.04957173056900501,100,4904,5,0.05,5,95,-1192.67,0.001,25.8977370262146
11,0.05156927704811096,100,4529,19,0.19,12,88,-1079.5300000000002,0.001,27.831705808639526
12,0.045935561098158356,100,4449,17,0.17,12,88,-1063.7100000000003,0.001,30.171469926834106
13,0.04550748231820762,100,3991,27,0.27,12,88,-939.2300000000004,0.001,32.185632944107056
14,0.04058253671042621,100,3755,30,0.3,9,91,-881.5199999999999,0.001,34.06841588020325
15,0.03873853925615549,100,3915,30,0.3,6,94,-909.5500000000004,0.001,35.96313691139221
16,0.036763618467375636,100,3513,35,0.35,5,95,-808.89,0.001,37.56848096847534
17,0.03531994644552469,100,3265,40,0.4,9,91,-739.1700000000004,0.001,39.53907608985901
18,0.03341208301484585,100,3267,40,0.4,12,88,-741.7700000000003,0.001,41.45238709449768
19,0.03283421428874135,100,3131,43,0.43,5,95,-702.3400000000001,0.001,43.385886907577515
20,0.02971656554378569,100,3035,45,0.45,13,87,-673.7399999999999,0.001,45.22237801551819
21,0.03342850613989867,100,3152,42,0.42,2,98,-709.47,0.001,47.03770184516907
22,0.03640161455143243,100,3080,46,0.46,8,92,-682.4800000000001,0.001,48.69964790344238
23,0.030921373474411665,100,2733,50,0.5,4,96,-596.8199999999999,0.001,50.22319579124451
24,0.02660360564244911,100,2948,50,0.5,8,92,-635.87,0.001,51.77408695220947
25,0.025416573154507204,100,2625,54,0.54,11,89,-555.1600000000003,0.001,53.242461919784546
26,0.029389387366827578,100,3066,47,0.47,9,91,-676.8899999999999,0.001,54.87998390197754
27,0.024995844514342024,100,2439,60,0.6,4,96,-492.34000000000003,0.001,56.37486481666565
28,0.013717702859139536,100,1895,75,0.75,9,91,-318.69,0.001,57.61647582054138
29,0.01720034700789256,100,2302,70,0.7,5,95,-430.25999999999993,0.001,58.97309374809265
30,0.009718414527305867,100,1855,83,0.83,3,97,-289.0299999999999,0.001,60.19822096824646
31,0.012680348006251735,100,1988,78,0.78,5,95,-343.02,0.001,61.47233986854553
32,0.03500303618842736,100,3003,48,0.48,7,93,-657.7900000000003,0.001,62.97459101676941
33,0.014010917479754425,100,2021,72,0.72,2,98,-362.54999999999995,0.001,64.24070978164673
34,0.01568988173356047,100,2258,69,0.69,11,89,-426.6,0.001,65.58673691749573
35,0.016245670451316984,100,2107,67,0.67,11,89,-395.5500000000001,0.001,66.92951703071594
36,0.014324809394020121,100,1920,77,0.77,8,92,-318.0299999999999,0.001,68.19541692733765
37,0.009734641344693954,100,1754,80,0.8,12,88,-270.6799999999999,0.001,69.38488292694092
38,0.014478338615663233,100,1897,74,0.74,3,97,-328.0000000000001,0.001,70.75534677505493
39,0.016504683358361943,100,2056,69,0.69,7,93,-373.7899999999999,0.001,72.07339787483215
40,0.012052312710511614,100,1919,81,0.81,5,95,-309.62999999999994,0.001,73.30368304252625
41,0.006124889944840106,100,1380,88,0.88,4,96,-158.36000000000004,0.001,74.4169089794159
42,0.007388526104587072,100,1353,86,0.86,2,98,-171.3300000000001,0.001,75.57224607467651
43,0.006522304508835077,100,1336,90,0.9,9,91,-142.96999999999997,0.001,76.70891284942627
44,0.014230615066626342,100,2101,69,0.69,13,87,-384.62000000000006,0.001,77.97141194343567
45,0.015688489142339678,100,2094,70,0.7,4,96,-378.89,0.001,79.23972201347351
46,0.02151534924458247,100,2519,63,0.63,4,96,-501.0300000000001,0.001,80.61093711853027
47,0.012838223564394867,100,1720,78,0.78,6,94,-274.3399999999999,0.001,81.85483193397522
48,0.009777740881690988,100,1884,82,0.82,7,93,-289.54999999999984,0.001,83.10962200164795
49,0.01209073215177341,100,1876,80,0.8,5,95,-301.80999999999995,0.001,84.34759092330933
50,0.009821629190773819,100,1577,85,0.85,12,88,-215.55999999999995,0.001,85.61779308319092
51,0.010592762273809057,100,1465,83,0.83,9,91,-189.42999999999995,0.001,86.87484383583069
52,0.014481318195466884,100,2121,73,0.73,7,93,-364.03999999999974,0.001,88.63900113105774
53,0.006045184117683675,100,1434,89,0.89,9,91,-151.28999999999996,0.001,89.88122797012329
54,0.002166476950460492,100,955,97,0.97,13,87,-26.999999999999954,0.001,91.01303505897522
55,0.003990171055447717,100,1165,93,0.93,10,90,-85.76000000000002,0.001,92.11179900169373
56,0.012108919615493506,100,1663,83,0.83,9,91,-239.97999999999996,0.001,93.42962694168091
57,0.04019882295106072,100,3657,35,0.35,11,89,-835.4399999999999,0.001,95.80330276489258
58,0.014079626624625235,100,1937,74,0.74,7,93,-327.91999999999985,0.001,97.10593891143799
59,0.005438579643960111,100,978,93,0.93,9,91,-41.52999999999998,0.001,98.09677481651306
60,0.04570512223057449,100,4464,19,0.19,4,96,-1052.9900000000002,0.001,100.01783609390259
61,0.02631173054687679,100,2561,59,0.59,9,91,-521.36,0.001,101.47281193733215
62,0.01557024801208172,100,2166,68,0.68,12,88,-405.68999999999994,0.001,102.74573588371277
63,0.022438125850167124,100,2292,66,0.66,9,91,-439.68999999999966,0.001,104.04533791542053
64,0.011654796750226524,100,1654,80,0.8,7,93,-242.52999999999994,0.001,105.21758484840393
65,0.014589921632868937,100,1990,73,0.73,12,88,-344.52,0.001,106.4471869468689
66,0.00929253150767181,100,1482,85,0.85,10,90,-189.92000000000007,0.001,107.54532504081726
67,0.0018510148119094084,100,1034,96,0.96,2,98,-54.92999999999999,0.001,108.90728282928467
68,0.029444041292954352,100,2967,51,0.51,9,91,-622.1500000000001,0.001,110.57975697517395
69,0.022134422748931685,100,2407,67,0.67,9,91,-465.50999999999965,0.001,111.96585702896118
70,0.006747375230770558,100,1559,84,0.84,11,89,-212.72999999999996,0.001,113.10766005516052
71,0.021141340248577764,100,2173,67,0.67,8,92,-403.22999999999996,0.001,114.43791794776917
72,0.00536350422524265,100,1355,89,0.89,9,91,-143.51000000000002,0.001,115.73330783843994
73,0.0016054066077776951,100,786,98,0.98,9,91,18.810000000000006,0.001,116.77029871940613
74,0.0006893947259413835,100,715,100,1.0,9,91,40.11000000000001,0.001,117.8036777973175
