epoch,loss,steps,win,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.015583997592329979,35,0,0.0,4,31,-8.120000000000001,0.001,84.356659
1,0.014322393573820591,33,0,0.0,3,30,-8.04,0.001,153.863866
2,0.011988887563347816,34,0,0.0,2,32,-8.08,0.001,210.872245
3,0.05007927492260933,3,1,0.0,2,1,0.5,0.001,214.774555
4,0.09055507183074951,1,1,0.0,2,0,1.0,0.001,216.044901
5,0.05450672283768654,18,1,0.0,3,15,-3.04,0.001,238.951056
6,0.08760267496109009,2,1,0.0,3,0,0.96,0.001,242.746102
7,0.010951699689030647,36,0,0.0,6,30,-8.16,0.001,303.707232
8,0.06854529678821564,28,1,0.625,5,23,-5.12,0.001,355.531258
9,0.129062220454216,3,1,0.75,4,0,0.92,0.001,363.853596
10,0.18806439638137817,1,1,0.875,2,0,1.0,0.001,367.232857
11,0.007624697871506214,37,0,0.75,7,30,-8.2,0.001,451.491516
12,0.02247805893421173,36,0,0.625,7,29,-8.16,0.001,501.834304
13,0.1389078050851822,34,0,0.5,4,30,-8.08,0.001,547.312096
14,0.15518668293952942,35,0,0.375,5,30,-8.120000000000001,0.001,597.40835
15,0.49890151619911194,1,1,0.5,2,0,1.0,0.001,598.753814
16,0.06607286632061005,33,0,0.375,7,26,-8.25,0.001,643.944755
17,0.14735841751098633,35,0,0.25,6,29,-8.120000000000001,0.001,693.510462
18,0.5572085976600647,5,1,0.25,2,3,0.0,0.001,700.549201
19,0.2565361261367798,11,1,0.375,7,4,-0.4500000000000002,0.001,715.624404
20,0.2006041705608368,33,1,0.5,5,28,-6.37,0.001,762.000168
21,0.3853171467781067,1,1,0.625,2,0,1.0,0.001,763.401655
22,0.02667425200343132,33,0,0.625,5,28,-8.25,0.001,808.295472
23,0.088081955909729,33,0,0.5,6,27,-8.04,0.001,853.624964
24,0.1622191071510315,35,0,0.5,4,31,-8.120000000000001,0.001,899.917316
25,0.4470393657684326,27,1,0.625,2,25,-5.5,0.001,936.531324
26,0.7775128483772278,4,1,0.625,5,0,0.88,0.001,941.875445
27,0.06340524554252625,34,0,0.5,5,29,-8.08,0.001,987.307856
28,0.28537216782569885,1,1,0.5,2,0,1.0,0.001,988.637581
29,0.4879857897758484,3,1,0.5,4,0,0.92,0.001,992.497244
30,0.16446025669574738,11,1,0.625,5,6,-0.8700000000000001,0.001,1006.922813
31,0.24736405909061432,21,1,0.75,2,19,-4.0,0.001,1035.583933
32,0.15117999911308289,20,1,0.875,4,16,-3.33,0.001,1071.862239
33,0.265080988407135,2,1,0.875,3,0,0.96,0.001,1075.128915
34,0.12931227684020996,23,1,0.875,6,17,-3.66,0.001,1106.06448
35,0.030051076784729958,36,0,0.875,7,29,-8.16,0.001,1150.86367
36,0.1605195850133896,22,1,0.875,4,18,-3.83,0.001,1179.1394
37,0.301434189081192,3,1,0.875,4,0,0.92,0.001,1183.066339
38,0.1404305398464203,12,1,0.875,5,7,-1.12,0.001,1198.693271
39,0.045616865158081055,33,0,0.75,4,29,-8.25,0.001,1240.847718
40,0.20090293884277344,3,1,0.75,4,0,0.92,0.001,1244.567301
41,0.046262212097644806,36,0,0.625,7,29,-8.16,0.001,1290.141706
42,0.2230466902256012,27,1,0.625,4,23,-5.08,0.001,1325.300437
43,0.43077796697616577,2,1,0.75,3,0,0.96,0.001,1327.802151
44,0.05778605118393898,33,0,0.625,5,28,-8.04,0.001,1369.192353
45,0.1083238497376442,35,0,0.5,2,33,-8.120000000000001,0.001,1414.212299
46,0.1510685682296753,33,0,0.375,5,28,-8.04,0.001,1456.288772
47,0.3438940644264221,19,1,0.5,4,15,-3.08,0.001,1479.929197
48,0.15932492911815643,34,0,0.375,6,28,-8.08,0.001,1523.255801
49,0.4665662348270416,3,1,0.5,4,0,0.92,0.001,1527.131463
50,0.5931499004364014,6,1,0.5,4,2,0.16999999999999993,0.001,1535.27909
51,0.8577839136123657,1,1,0.5,2,0,1.0,0.001,1536.60647
52,0.029530968517065048,33,0,0.5,4,29,-8.04,0.001,1578.475284
53,0.18537093698978424,5,1,0.625,4,1,0.41999999999999993,0.001,1584.580961
54,0.042119864374399185,36,0,0.625,7,29,-8.16,0.001,1637.608492
55,0.08183010667562485,33,0,0.5,4,29,-8.04,0.001,1684.307216
56,0.13474160432815552,33,0,0.5,5,28,-8.04,0.001,1729.829799
57,0.46452605724334717,4,1,0.5,3,1,0.45999999999999996,0.001,1735.725866
58,0.09804951399564743,33,0,0.375,4,29,-8.04,0.001,1790.947489
59,0.40321844816207886,6,1,0.375,2,4,-0.25,0.001,1799.534897
60,0.555793285369873,2,1,0.5,3,0,0.96,0.001,1802.348902
61,0.1777268499135971,16,1,0.5,4,12,-2.33,0.001,1824.196231
62,0.20213545858860016,23,1,0.625,3,20,-4.29,0.001,1870.45632
63,0.3428760766983032,7,1,0.75,3,4,-0.29000000000000004,0.001,1883.201162
64,0.3288562297821045,1,1,0.875,2,0,1.0,0.001,1885.335012
65,0.44365400075912476,3,1,0.875,4,0,0.92,0.001,1890.562807
66,0.5624912977218628,1,1,1.0,2,0,1.0,0.001,1892.819385
