epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.039630549466237425,100,0,13,0.13,2,98,-1094.8799999999997,0.001,2.1287357807159424
1,0.054440872389823196,100,0,21,0.21,2,98,-998.0299999999996,0.001,4.303569793701172
2,0.0513268118724227,100,0,25,0.25,6,94,-927.2900000000001,0.001,6.195335865020752
3,0.05072301283478737,100,0,20,0.2,5,95,-1005.0399999999997,0.001,8.07802677154541
4,0.04713088285177946,100,0,12,0.12,6,94,-1108.6299999999997,0.001,9.949687719345093
5,0.0609446076489985,100,0,21,0.21,2,98,-1002.52,0.001,11.894499778747559
6,0.053228880437090995,100,0,23,0.23,8,92,-958.9099999999996,0.001,14.016129732131958
7,0.0520200830232352,100,0,27,0.27,5,95,-916.4600000000002,0.001,15.746296882629395
8,0.051465522581711415,100,0,22,0.22,4,96,-973.4899999999996,0.001,17.499831676483154
9,0.05134767737239599,100,0,18,0.18,3,97,-1036.07,0.001,19.29750895500183
10,0.05072348551824689,100,0,23,0.23,8,92,-962.4499999999998,0.001,21.360999822616577
11,0.04909625247120857,100,0,13,0.13,5,95,-1097.4199999999996,0.001,23.37598180770874
12,0.049304870422929525,100,0,20,0.2,6,94,-996.34,0.001,25.121723890304565
13,0.056232252037152645,100,0,22,0.22,5,95,-985.9599999999998,0.001,26.82156491279602
14,0.04502947345376015,100,0,22,0.22,6,94,-997.8199999999998,0.001,29.031864881515503
15,0.045416956609115,100,0,14,0.14,6,94,-1080.92,0.001,31.12652087211609
16,0.045039181699976324,100,0,13,0.13,5,95,-1088.54,0.001,33.235177993774414
17,0.045346771273761986,100,0,10,0.1,6,94,-1132.9299999999998,0.001,35.31082606315613
18,0.051794073386117814,100,0,20,0.2,4,96,-993.0600000000002,0.001,37.58265686035156
19,0.05524286111816764,100,0,25,0.25,5,95,-937.7999999999997,0.001,39.345491886138916
20,0.04231579689309001,100,0,16,0.16,4,96,-1048.0499999999997,0.001,41.16119194030762
21,0.04513656836003065,100,0,13,0.13,8,92,-1087.7999999999995,0.001,43.03006601333618
22,0.04823663856834173,100,0,20,0.2,4,96,-1008.4299999999997,0.001,45.15105485916138
23,0.04502652376890182,100,0,17,0.17,5,95,-1045.2299999999998,0.001,47.00270485877991
24,0.05074286356568337,100,0,22,0.22,6,94,-973.6899999999998,0.001,48.70523977279663
25,0.04907480174675584,100,0,26,0.26,6,94,-935.31,0.001,50.53668475151062
26,0.050220186412334444,100,0,9,0.09,3,97,-1150.629999999999,0.001,52.77720785140991
27,0.0364031557366252,100,0,22,0.22,4,96,-967.2399999999998,0.001,54.57531762123108
28,0.05557225077413022,100,0,27,0.27,5,95,-899.9299999999998,0.001,56.19626784324646
29,0.040116434637457135,100,0,18,0.18,9,91,-1030.5799999999997,0.001,58.080689907073975
30,0.043350906502455475,100,0,7,0.07,7,93,-1176.1999999999998,0.001,60.34214401245117
31,0.04814109676517546,100,0,20,0.2,7,93,-1001.1499999999997,0.001,62.22211575508118
32,0.04304296713322401,100,0,18,0.18,5,95,-1030.7,0.001,64.03559565544128
33,0.044978587049990894,100,0,20,0.2,5,95,-1007.93,0.001,65.85616374015808
34,0.04738801084458828,100,0,23,0.23,7,93,-958.5800000000003,0.001,67.94935297966003
35,0.04567982099018991,100,0,21,0.21,4,96,-990.9099999999996,0.001,69.72091603279114
36,0.04208995555527508,100,0,28,0.28,9,91,-899.2999999999996,0.001,71.44363379478455
37,0.043601787984371185,100,0,20,0.2,6,94,-999.1000000000001,0.001,73.33396196365356
38,0.04643175708130002,100,0,20,0.2,3,97,-997.05,0.001,75.59575581550598
39,0.045394664723426105,100,0,12,0.12,5,95,-1116.28,0.001,77.55013370513916
40,0.0419615688547492,100,0,6,0.06,3,97,-1194.6499999999992,0.001,79.54241061210632
41,0.044387214723974465,100,0,7,0.07,3,97,-1169.2199999999993,0.001,81.93217277526855
42,0.043475628858432175,100,0,4,0.04,8,92,-1208.9599999999994,0.001,84.34349584579468
43,0.04422557163052261,100,0,11,0.11,5,95,-1141.2499999999993,0.001,86.25841903686523
44,0.042114249356091024,100,0,19,0.19,2,98,-1006.07,0.001,87.97516083717346
45,0.047430987898260356,100,0,10,0.1,4,96,-1129.2299999999996,0.001,90.14045190811157
