epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.03580653236247599,100,0,2,0.02,4,96,-1239.8199999999997,0.001,3.0562593936920166
1,0.0541946854814887,100,0,0,0.0,7,93,-1267.37,0.001,6.052079677581787
2,0.054156085960567,100,0,0,0.0,7,93,-1268.5199999999995,0.001,9.263964891433716
3,0.05416501242667437,100,0,0,0.0,3,97,-1266.6199999999994,0.001,12.938629627227783
4,0.05416144579648972,100,0,0,0.0,2,98,-1267.2899999999997,0.001,15.950639963150024
5,0.05416414931416511,100,0,0,0.0,6,94,-1267.9599999999996,0.001,18.899476289749146
6,0.054163597673177716,100,0,0,0.0,3,97,-1267.5399999999995,0.001,21.96868085861206
7,0.05416177604347468,100,0,0,0.0,3,97,-1267.3299999999995,0.001,25.62398672103882
8,0.054162496961653234,100,0,0,0.0,6,94,-1267.8399999999992,0.001,28.601990222930908
9,0.05416025497019291,100,0,0,0.0,7,93,-1268.2999999999997,0.001,31.661067724227905
10,0.05416369266808033,100,0,0,0.0,5,95,-1268.1399999999992,0.001,34.92201018333435
11,0.054160431511700156,100,0,0,0.0,6,94,-1267.4699999999996,0.001,38.3557870388031
12,0.0541631243750453,100,0,0,0.0,6,94,-1266.4799999999993,0.001,41.39276194572449
13,0.0541610036790371,100,0,0,0.0,7,93,-1268.0399999999995,0.001,44.45925712585449
14,0.05416623756289482,100,0,0,0.0,6,94,-1265.9299999999994,0.001,48.08123207092285
15,0.054159680865705016,100,0,0,0.0,7,93,-1269.9099999999994,0.001,51.4334282875061
16,0.05416301541030407,100,0,0,0.0,8,92,-1266.22,0.001,54.540531873703
17,0.054163024723529817,100,0,0,0.0,7,93,-1267.7999999999997,0.001,57.608370780944824
18,0.05416197497397661,100,0,0,0.0,6,94,-1267.5399999999995,0.001,61.304049015045166
19,0.054161743372678754,100,0,0,0.0,6,94,-1265.6499999999992,0.001,64.35412907600403
20,0.05416370149701834,100,0,0,0.0,7,93,-1267.8399999999992,0.001,67.45424389839172
21,0.05416262753307819,100,0,0,0.0,4,96,-1267.8399999999992,0.001,70.46248006820679
22,0.05416093785315752,100,0,0,0.0,4,96,-1269.35,0.001,74.13286685943604
