epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.0002057330682873726,100,0,9,0.09,7,93,-1209.859999999999,0.001,1.4778778553009033
1,0.00017662223428487777,100,0,9,0.09,6,94,-1157.2699999999998,0.001,2.679935932159424
2,0.00019626464694738388,100,0,14,0.14,13,87,-1116.3899999999999,0.001,3.8664298057556152
3,0.00017927076667547225,100,0,8,0.08,5,95,-1179.1799999999996,0.001,5.099155902862549
4,0.00015967201441526412,100,0,11,0.11,6,94,-1137.6399999999999,0.001,6.309970855712891
5,0.00014814583584666253,100,0,8,0.08,11,89,-1190.8999999999994,0.001,7.5184619426727295
6,0.00012353728525340557,100,0,9,0.09,10,90,-1206.63,0.001,8.769032001495361
7,0.00012933911755681039,100,0,11,0.11,13,87,-1183.7499999999993,0.001,9.985267877578735
8,0.0001299004815518856,100,0,1,0.01,7,93,-1246.2999999999993,0.001,11.370997905731201
9,0.00012765830382704735,100,0,0,0.0,6,94,-1259.8499999999995,0.001,12.77477478981018
10,0.00012435590848326684,100,0,0,0.0,7,93,-1261.0099999999998,0.001,14.227998971939087
11,0.0001222594454884529,100,0,11,0.11,9,91,-1137.1299999999994,0.001,15.576202869415283
12,0.00012146099470555782,100,0,11,0.11,9,91,-1146.3899999999996,0.001,16.807974815368652
13,8.756836876273156e-05,100,0,10,0.1,5,95,-1154.37,0.001,18.048505783081055
14,0.00012192368507385254,100,0,9,0.09,11,89,-1175.0699999999997,0.001,19.293033838272095
15,0.00012317534536123275,100,0,13,0.13,6,94,-1156.2399999999996,0.001,20.513413906097412
16,0.00012486319988965988,100,0,13,0.13,11,89,-1145.7799999999995,0.001,21.725135803222656
17,0.00012891635298728943,100,0,8,0.08,10,90,-1168.0799999999997,0.001,22.962374925613403
18,0.00013146729208528995,100,0,0,0.0,2,98,-1259.9899999999996,0.001,24.308835744857788
19,0.0001354583352804184,100,0,0,0.0,5,95,-1259.5499999999995,0.001,25.677313089370728
20,0.00014113642275333403,100,0,0,0.0,3,97,-1260.1099999999997,0.001,27.04390788078308
21,0.00014630687423050403,100,0,0,0.0,11,89,-1260.8099999999997,0.001,28.34334373474121
22,0.00015323875471949576,100,0,14,0.14,9,91,-1112.8299999999995,0.001,29.51319980621338
23,0.00016085846349596976,100,0,10,0.1,7,93,-1150.7999999999997,0.001,30.71636986732483
24,0.00016547931358218193,100,0,11,0.11,6,94,-1179.26,0.001,31.969045877456665
25,0.00017381679266691207,100,0,10,0.1,11,89,-1182.55,0.001,33.186736822128296
26,0.0001842505484819412,100,0,6,0.06,6,94,-1206.4599999999994,0.001,34.398452043533325
27,0.0011485879123210906,100,0,9,0.09,3,97,-1184.9999999999998,0.001,35.606467723846436
28,0.00021063387393951415,100,0,9,0.09,8,92,-1156.2999999999995,0.001,36.8309440612793
29,0.00021839644759893417,100,0,13,0.13,10,90,-1091.69,0.001,38.025654792785645
30,0.0002285989560186863,100,0,13,0.13,9,91,-1119.1999999999994,0.001,39.198740005493164
31,0.00024388859048485756,100,0,12,0.12,7,93,-1128.2299999999998,0.001,40.33357071876526
32,0.00024190539494156838,100,0,2,0.02,13,87,-1234.6299999999999,0.001,41.49751281738281
33,0.00027298230677843096,100,0,4,0.04,6,94,-1224.8699999999994,0.001,42.72082996368408
34,0.00026686456054449083,100,0,2,0.02,8,92,-1237.4699999999996,0.001,43.9188129901886
35,0.00030775422230362894,100,0,0,0.0,5,95,-1258.6199999999992,0.001,45.09325075149536
36,0.0003241416811943054,100,0,0,0.0,6,94,-1261.0999999999997,0.001,46.28662180900574
37,0.0003455476090312004,100,0,0,0.0,12,88,-1260.399999999999,0.001,47.53220987319946
38,0.0003666878491640091,100,0,0,0.0,2,98,-1259.5199999999993,0.001,48.72371292114258
39,0.0003726910054683685,100,0,0,0.0,6,94,-1260.9399999999996,0.001,49.96030783653259
40,0.0004136009514331818,100,0,7,0.07,7,93,-1193.3399999999997,0.001,51.136016845703125
41,0.00043986760079860686,100,0,9,0.09,5,95,-1143.1799999999996,0.001,52.24344873428345
42,0.000464329794049263,100,0,10,0.1,12,88,-1156.04,0.001,53.37077975273132
43,0.00048790551722049713,100,0,9,0.09,9,91,-1165.5399999999995,0.001,54.49541997909546
44,0.00048075135797262194,100,0,7,0.07,13,87,-1201.4199999999992,0.001,55.64787197113037
45,0.0005299777537584305,100,0,17,0.17,13,87,-1079.1300000000003,0.001,56.71153473854065
46,0.0005277669057250023,100,0,12,0.12,5,95,-1104.0099999999995,0.001,57.78658580780029
47,0.0005374954640865326,100,0,10,0.1,10,90,-1169.48,0.001,58.91664695739746
48,0.0005384230241179466,100,0,12,0.12,3,97,-1124.16,0.001,59.98572897911072
49,0.0005317465960979462,100,0,12,0.12,5,95,-1120.6799999999994,0.001,61.079763889312744
50,0.003903074562549591,100,0,15,0.15,2,98,-1122.72,0.001,62.14534091949463
51,0.0005003433302044869,100,0,8,0.08,13,87,-1182.9599999999994,0.001,63.29282093048096
52,0.00045858073979616166,100,0,15,0.15,4,96,-1095.7299999999996,0.001,64.42448472976685
53,0.0004288836568593979,100,0,10,0.1,11,89,-1175.36,0.001,65.6024489402771
54,0.0004098869115114212,100,0,9,0.09,6,94,-1169.1299999999997,0.001,66.75183176994324
55,0.00039309743791818616,100,0,9,0.09,13,87,-1175.6399999999992,0.001,67.92820286750793
56,0.00037995554506778715,100,0,10,0.1,11,89,-1138.7500000000005,0.001,69.03934788703918
57,0.00036560151726007463,100,0,10,0.1,7,93,-1148.1399999999994,0.001,70.14592695236206
58,0.00036393556743860247,100,0,14,0.14,6,94,-1112.55,0.001,71.22611474990845
59,0.0003960980474948883,100,0,13,0.13,4,96,-1127.82,0.001,72.32215785980225
60,0.00035922452807426455,100,0,8,0.08,7,93,-1162.8999999999994,0.001,73.44719791412354
61,0.00036681365221738813,100,0,13,0.13,12,88,-1128.6599999999994,0.001,74.53709888458252
62,0.0018922314047813416,100,0,11,0.11,2,98,-1139.1799999999994,0.001,75.63194298744202
63,0.0005195657536387443,100,0,12,0.12,7,93,-1119.0999999999995,0.001,76.71156668663025
64,0.00036101508885622025,100,0,13,0.13,13,87,-1129.2999999999997,0.001,77.81337785720825
65,0.0003303825855255127,100,0,14,0.14,8,92,-1096.6799999999998,0.001,78.87452483177185
66,0.00034506089985370637,100,0,8,0.08,6,94,-1167.5399999999995,0.001,80.02340388298035
67,0.00034464266151189803,100,0,10,0.1,4,96,-1189.4799999999996,0.001,81.16833996772766
68,0.00034326113760471346,100,0,12,0.12,6,94,-1115.7599999999995,0.001,82.26072096824646
69,0.0003513050079345703,100,0,14,0.14,12,88,-1113.4799999999998,0.001,83.35026979446411
70,0.00035318005830049516,100,0,13,0.13,5,95,-1137.32,0.001,84.45492887496948
